function,iter,pi,error,time,hostname
2, 280000,  3.1415926559, 2.3247470615e-09, 0.00280,  wn23 
1, 290000,  3.1415926536, 1.0285106100e-12, 0.00257,  wn23 
2, 290000,  3.1415926558, 2.2055588467e-09, 0.00290,  wn23 
1, 300000,  3.1415926536, 8.1934459217e-13, 0.00265,  wn23 
2, 300000,  3.1415926557, 2.0960873037e-09, 0.00300,  wn23 
1, 310000,  3.1415926536, 8.6730622684e-13, 0.00292,  wn23 
2, 310000,  3.1415926556, 1.9955916919e-09, 0.00309,  wn23 
1, 320000,  3.1415926536, 8.5798035343e-13, 0.00284,  wn23 
2, 320000,  3.1415926555, 1.9026975551e-09, 0.00319,  wn23 
1, 330000,  3.1415926536, 7.8381745539e-13, 0.00293,  wn23 
2, 330000,  3.1415926554, 1.8168848648e-09, 0.00330,  wn23 
1, 340000,  3.1415926536, 6.3904437297e-13, 0.00301,  wn23 
2, 340000,  3.1415926553, 1.7372925321e-09, 0.00340,  wn23 
1, 350000,  3.1415926536, 6.6169292268e-13, 0.00310,  wn23 
2, 350000,  3.1415926553, 1.6634764677e-09, 0.00350,  wn23 
1, 360000,  3.1415926536, 6.3238303483e-13, 0.00319,  wn23 
2, 360000,  3.1415926552, 1.5946057808e-09, 0.00361,  wn23 
1, 370000,  3.1415926536, 6.2172489379e-13, 0.00328,  wn23 
2, 370000,  3.1415926551, 1.5304300049e-09, 0.00371,  wn23 
1, 380000,  3.1415926536, 6.2927441036e-13, 0.00338,  wn23 
2, 380000,  3.1415926551, 1.4704126805e-09, 0.00380,  wn23 
1, 390000,  3.1415926536, 6.3948846218e-13, 0.00346,  wn23 
2, 390000,  3.1415926550, 1.4143233251e-09, 0.00494,  wn23 
1, 400000,  3.1415926536, 5.8841820305e-13, 0.00461,  wn23 
2, 400000,  3.1415926550, 1.3615180094e-09, 0.00400,  wn23 
1, 410000,  3.1415926536, 4.9249493372e-13, 0.00363,  wn23 
2, 410000,  3.1415926549, 1.3120105002e-09, 0.00409,  wn23 
1, 420000,  3.1415926536, 2.8155255904e-13, 0.00372,  wn23 
2, 420000,  3.1415926549, 1.2653478265e-09, 0.00422,  wn23 
1, 430000,  3.1415926536, 4.4142467459e-13, 0.00382,  wn23 
2, 430000,  3.1415926548, 1.2215766176e-09, 0.00428,  wn23 
