nx,ny,iter,T,Tp,Tnp,nthreads
2048, 2048, 1000, 7.775, 7.752, 0.024, 1
2048, 2048, 1000, 5.343, 5.318, 0.025, 2
2048, 2048, 1000, 3.457, 3.433, 0.024, 4
2048, 2048, 1000, 2.386, 2.362, 0.023, 8
2048, 2048, 1000, 1.888, 1.864, 0.024, 16
