nx,ny,iter,T,Tp,Tnp,nthreads
2048, 2048, 1000, 4.702, 4.665, 0.037, 1
2048, 2048, 1000, 2.457, 2.434, 0.023, 2
2048, 2048, 1000, 1.313, 1.291, 0.023, 4
2048, 2048, 1000, 0.723, 0.699, 0.024, 8
2048, 2048, 1000, 0.449, 0.425, 0.024, 16
