nx,ny,iter,T,Tp,Tnp,nthreads
2048, 2048, 1000, 9.576, 9.544, 0.032, 1
2048, 2048, 1000, 5.560, 5.538, 0.021, 2
2048, 2048, 1000, 3.585, 3.563, 0.022, 4
2048, 2048, 1000, 2.527, 2.504, 0.022, 8
2048, 2048, 1000, 2.046, 2.021, 0.024, 16
